,customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
29,OH23893,California,No,Basic,Bachelor,2011-02-15,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize
30,RI76930,California,No,Basic,College,2011-02-12,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,SUV,Large
31,YK26558,California,No,Basic,College,2011-02-20,Unemployed,F,Rural,Divorced,Special Auto,Special L3,Offer1,Branch,Four-Door Car,Medsize
32,OE15005,California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize
33,RA17555,Oregon,No,Basic,High School or Below,2011-02-07,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer3,Agent,Four-Door Car,Medsize
34,ZI34278,Arizona,No,Basic,Bachelor,2011-01-28,Medical Leave,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize
35,XD72019,Oregon,No,Extended,Bachelor,2011-02-19,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Large
36,RR93140,California,No,Basic,College,2011-01-05,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
37,BE25221,Arizona,No,Extended,High School or Below,2011-02-07,Medical Leave,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
38,PV62583,Nevada,No,Extended,College,2011-01-03,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize
39,BL12371,Arizona,No,Basic,Master,2011-02-03,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large
40,ER49844,Arizona,No,Basic,College,2011-01-19,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer4,Call Center,Four-Door Car,Medsize
41,RI22468,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize
42,SY48591,Arizona,No,Basic,College,2011-01-17,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
43,PR23514,California,No,Basic,College,2011-01-23,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer2,Web,Luxury SUV,Medsize
44,UY32623,California,No,Extended,College,2011-02-05,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large
45,QV30663,Nevada,No,Extended,Master,2011-02-28,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize
46,MS94619,California,No,Basic,High School or Below,2011-02-13,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
47,TX39594,Arizona,No,Basic,High School or Below,2011-01-25,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Two-Door Car,Small
48,GR42174,Oregon,No,Basic,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
49,XI79589,California,No,Extended,High School or Below,2011-02-16,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize
50,XQ74827,Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Suburban,Single,Special Auto,Special L3,Offer1,Agent,Luxury Car,Medsize
51,TW17878,Oregon,No,Basic,High School or Below,2011-01-27,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
52,GB43363,Oregon,No,Premium,College,2011-01-24,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small
53,IQ95180,Oregon,No,Basic,Bachelor,2011-01-19,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small
54,JX52708,California,No,Basic,Bachelor,2011-02-14,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
55,AV25133,Oregon,No,Extended,College,2011-01-12,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Small
56,WL24392,Arizona,No,Basic,Bachelor,2011-02-01,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
57,LO57874,Oregon,Yes,Basic,Bachelor,2011-01-15,Retired,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Large
58,UO54511,California,No,Basic,High School or Below,2011-01-20,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize
59,NY12562,Nevada,No,Basic,College,2011-01-05,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
60,QG27547,Oregon,Yes,Extended,Bachelor,2011-01-03,Retired,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
61,PH78214,Oregon,No,Basic,College,2011-02-11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
62,LO37570,Arizona,No,Extended,High School or Below,2011-01-07,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
63,FH81409,California,No,Extended,High School or Below,2011-01-21,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small
64,RW65977,Arizona,No,Basic,College,2011-01-29,Unemployed,M,Suburban,Single,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Medsize
65,LD75023,Oregon,No,Extended,High School or Below,2011-01-20,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Web,Luxury SUV,Medsize
66,OZ92426,Oregon,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate Auto,Corporate L1,Offer4,Branch,Four-Door Car,Medsize
67,FI17798,California,No,Basic,Doctor,2011-01-11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
68,YC54142,Washington,No,Extended,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Luxury Car,Medsize
69,LN28900,California,No,Extended,Bachelor,2011-02-23,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Small
70,SX63814,Arizona,No,Premium,High School or Below,2011-02-13,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
71,VM85555,California,No,Basic,College,2011-02-23,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
72,RO18530,Washington,No,Basic,Master,2011-02-28,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Large
73,FR48094,Arizona,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small
74,DY27653,Oregon,No,Extended,High School or Below,2011-01-04,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
75,CH50584,Oregon,No,Basic,High School or Below,2011-01-22,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,SUV,Small
76,KO86181,Oregon,No,Basic,College,2011-02-11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Small
77,KD63933,California,No,Basic,College,2011-02-19,Medical Leave,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Luxury SUV,Medsize
78,CM66204,Arizona,No,Basic,College,2011-01-23,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Large
79,NV13794,Nevada,No,Basic,High School or Below,2011-02-09,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Small
80,HF75891,Washington,No,Basic,High School or Below,2011-02-11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize
81,NB81923,Washington,No,Basic,College,2011-02-24,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize
82,AV96010,Oregon,No,Extended,College,2011-01-29,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize
83,PK23339,Arizona,No,Extended,High School or Below,2011-01-25,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
84,JY66887,California,No,Extended,High School or Below,2011-02-27,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Luxury Car,Medsize
85,NH16984,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Urban,Divorced,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Medsize
86,UV12583,California,No,Basic,College,2011-02-18,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,SUV,Medsize
87,VG56765,Arizona,Yes,Basic,High School or Below,2011-01-15,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize
88,AK11669,Arizona,No,Extended,Doctor,2011-01-17,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Branch,Two-Door Car,Medsize
89,SZ60450,California,No,Extended,High School or Below,2011-02-13,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Two-Door Car,Medsize
90,MS87381,California,No,Extended,High School or Below,2011-02-14,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
91,No31089,Arizona,No,Extended,Bachelor,2011-01-21,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
92,TK65222,California,No,Premium,Bachelor,2011-01-12,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large
93,HB48073,Arizona,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize
94,DO60145,Arizona,Yes,Extended,College,2011-01-19,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
95,BA40043,California,No,Basic,College,2011-01-03,Employed,M,Rural,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
96,EC28398,Oregon,Yes,Basic,Master,2011-01-28,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Small
97,FE99816,Nevada,No,Premium,Bachelor,2011-01-19,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Web,Luxury Car,Medsize
98,HS39343,Washington,No,Basic,Bachelor,2011-01-26,Disabled,F,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Luxury Car,Medsize
99,GL44478,Oregon,No,Extended,High School or Below,2011-01-22,Disabled,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Sports Car,Medsize
100,EF84269,California,No,Extended,College,2011-02-21,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize
101,RD22761,Washington,No,Basic,Bachelor,2011-01-16,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
102,DO41287,Oregon,No,Extended,High School or Below,2011-02-18,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
103,OO89057,California,No,Extended,Master,2011-02-17,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
104,DQ92905,Arizona,No,Basic,Bachelor,2011-02-24,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,Four-Door Car,Medsize
105,EW33419,California,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,SUV,Medsize
106,KH16079,Washington,No,Basic,High School or Below,2011-02-12,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small
107,GU99037,Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
108,BM92346,California,Yes,Extended,High School or Below,2011-01-05,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Small
109,RU75949,Oregon,No,Basic,College,2011-02-28,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Sports Car,Medsize
110,PP35705,California,No,Extended,High School or Below,2011-02-26,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Small
111,ZM45168,Oregon,No,Basic,College,2011-02-14,Disabled,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
112,SH93005,California,Yes,Extended,College,2011-02-23,Retired,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
113,CJ72056,California,No,Basic,Bachelor,2011-01-17,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
114,ZY20779,Washington,No,Basic,High School or Below,2011-01-29,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize
115,BP28492,Arizona,Yes,Basic,College,2011-01-31,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize
116,AN67558,Nevada,No,Basic,College,2011-01-16,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Large
117,ZJ90079,Arizona,No,Basic,College,2011-02-01,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer3,Agent,Four-Door Car,Small
118,GS85403,Washington,Yes,Extended,Master,2011-02-23,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Branch,Sports Car,Medsize
119,SK95364,California,No,Extended,College,2011-02-26,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,SUV,Medsize
120,UI80897,Washington,No,Basic,High School or Below,2011-02-27,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer4,Call Center,Two-Door Car,Large
121,OJ65428,Nevada,No,Premium,College,2011-01-19,Disabled,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
122,WP64059,California,No,Basic,Bachelor,2011-01-06,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Call Center,Two-Door Car,Medsize
123,IP52990,Oregon,No,Basic,High School or Below,2011-02-24,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,SUV,Medsize
124,VF36700,Oregon,No,Extended,Master,2011-02-26,Retired,F,Urban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
125,NR16284,California,Yes,Extended,College,2011-01-28,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Small
126,AB13432,California,No,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
127,XX53620,Oregon,No,Basic,Bachelor,2011-02-02,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Branch,Four-Door Car,Small
128,AZ38648,Washington,Yes,Basic,Master,2011-01-20,Retired,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
129,AV76907,Oregon,Yes,Basic,College,2011-02-26,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
130,ER97256,Arizona,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
131,CJ97736,Oregon,No,Basic,College,2011-02-16,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small
132,AZ64856,California,No,Extended,High School or Below,2011-02-17,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,SUV,Large
133,SA88518,Oregon,No,Basic,College,2011-01-19,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize
134,ED61615,California,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small
135,MW48891,Washington,Yes,Basic,High School or Below,2011-01-02,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,Sports Car,Medsize
136,DB26077,Arizona,No,Extended,High School or Below,2011-01-05,Retired,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize
137,RL31641,Oregon,No,Basic,College,2011-01-29,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize
138,KX55910,Oregon,No,Basic,College,2011-01-15,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Small
139,PJ86059,Oregon,No,Basic,High School or Below,2011-01-04,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
140,QB47024,Washington,No,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
141,LG64797,California,No,Extended,College,2011-02-18,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Luxury SUV,Medsize
142,OO63074,California,No,Basic,Bachelor,2011-02-09,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,SUV,Medsize
143,JL70559,Arizona,No,Basic,College,2011-02-02,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small
144,TW73441,Nevada,No,Basic,High School or Below,2011-01-26,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
145,PZ47901,Arizona,Yes,Basic,Bachelor,2011-02-08,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
146,YN39714,Oregon,No,Basic,High School or Below,2011-01-04,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize
147,HX74855,Washington,Yes,Basic,High School or Below,2011-01-15,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize
148,CV40610,California,No,Premium,College,2011-01-17,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,Two-Door Car,Medsize
149,MV69686,Oregon,No,Extended,Doctor,2011-01-03,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large
150,IB67546,California,No,Basic,Bachelor,2011-01-17,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Small
151,OZ41737,Oregon,No,Basic,Doctor,2011-02-22,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large
152,DQ19343,California,No,Basic,High School or Below,2011-02-22,Employed,F,Urban,Single,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Medsize
153,IG89777,California,No,Extended,High School or Below,2011-01-09,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Two-Door Car,Large
154,SH48087,California,No,Extended,College,2011-01-29,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
155,FL82372,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize
156,WJ57919,California,Yes,Basic,College,2011-02-15,Employed,M,Suburban,Single,Special Auto,Special L3,Offer2,Call Center,Four-Door Car,Small
157,CI60365,California,Yes,Basic,High School or Below,2011-01-14,Employed,F,Suburban,Married,Special Auto,Special L3,Offer2,Agent,Sports Car,Medsize
158,DR84620,California,No,Basic,Bachelor,2011-02-07,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,SUV,Medsize
159,AF41118,California,No,Extended,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Small
160,QQ25666,Arizona,No,Basic,High School or Below,2011-01-25,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Medsize
161,OK31456,California,Yes,Premium,Bachelor,2011-01-24,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Agent,Luxury Car,Medsize
162,YU79270,Arizona,No,Basic,College,2011-01-15,Medical Leave,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
163,WK18603,California,No,Basic,Doctor,2011-02-18,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize
164,JK90180,Arizona,No,Basic,College,2011-01-06,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
165,KC22636,California,No,Basic,High School or Below,2011-02-17,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Large
166,SO43919,California,No,Extended,Bachelor,2011-01-16,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
167,NE29938,California,No,Extended,College,2011-02-03,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Large
168,WW30771,Arizona,No,Basic,Master,2011-02-13,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small
169,BL29046,Oregon,Yes,Basic,Doctor,2011-02-22,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
170,LN50325,Arizona,No,Extended,High School or Below,2011-02-03,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Branch,Sports Car,Medsize
171,VQ65197,California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
172,VQ97965,Oregon,No,Extended,Bachelor,2011-02-23,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize
173,SZ70655,California,No,Basic,College,2011-01-31,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Large
174,QP69826,Arizona,Yes,Basic,Bachelor,2011-01-07,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Agent,SUV,Medsize
175,CP92616,Nevada,No,Extended,High School or Below,2011-02-25,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer3,Agent,Luxury SUV,Small
176,NX37589,Washington,No,Basic,Bachelor,2011-02-08,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize
177,UT21323,California,No,Basic,College,2011-02-13,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Luxury SUV,Small
178,CM78608,California,No,Basic,High School or Below,2011-01-31,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
