,Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
163,JP69864,Washington,Yes,Basic,Bachelor,1/29/11,Retired,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
164,HL53154,California,No,Extended,Bachelor,2/22/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
165,RI78966,Oregon,No,Basic,Master,2/21/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
166,IC13702,California,No,Basic,Bachelor,1/10/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
167,BE10809,California,Yes,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small
168,HT87217,Oregon,No,Extended,High School or Below,1/16/11,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize
169,TH95618,California,No,Basic,High School or Below,1/6/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
170,TS19868,California,No,Basic,College,1/27/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Branch,Four-Door Car,Medsize
171,LP45550,Oregon,No,Premium,Doctor,1/15/11,Disabled,F,Urban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
172,QR87004,Nevada,No,Basic,College,1/9/11,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
173,OE75747,Nevada,No,Basic,College,1/28/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small
174,DX91392,California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
175,AB72731,California,No,Basic,Bachelor,1/4/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Sports Car,Medsize
176,RU49126,Washington,No,Basic,College,2/1/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize
177,IS12901,Arizona,No,Basic,Bachelor,1/27/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
178,IX37561,Washington,No,Basic,College,2/14/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize
179,HH90090,California,No,Basic,Bachelor,1/23/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Call Center,Sports Car,Small
